Date,Company,Open,High,Low,Close,Volume
2018-01-01,Apple,100.10438269662346,101.3210247745628,95.61867568350202,100.31141177925105,1637548
2018-01-02,Apple,99.02314155037477,104.04314057919228,99.32180139038353,100.27776477941609,3980532
2018-01-03,Apple,100.10124174254813,100.5667157086102,96.42499447036246,100.94923017872121,1804301
2018-01-04,Apple,102.16832509008184,103.34615491963481,98.20294524381877,102.81584556922256,1836461
2018-01-05,Apple,100.38547667850285,106.10005840413385,99.76558467874935,101.0654984024037,1684875
2018-01-08,Apple,101.84850768689591,101.97322848969424,96.88507518413385,101.3933067971895,3343886
2018-01-09,Apple,100.8965294746814,102.5095627637757,100.46489386039444,101.42490736228841,2758388
2018-01-10,Apple,102.67167747644156,105.86308332694021,99.21404193443539,103.63118848191128,4401009
2018-01-11,Apple,103.55574184630258,106.45846501773454,100.59478046713195,103.77304836446716,4549800
2018-01-12,Apple,105.03395223433344,108.00778520443139,102.44344130700455,105.17236065002498,1633222
2018-01-15,Apple,105.54424253605514,106.56574027829268,102.56412525530934,105.4175708823329,1101553
2018-01-16,Apple,107.24803483373061,110.46645474990652,104.67445934727375,107.09627401357638,4974606
2018-01-17,Apple,106.11326715052176,110.14247146773552,103.51251257415475,105.32768707999932,1308645
2018-01-18,Apple,106.69116884475916,109.54450428986496,106.01648464813773,107.74011684144202,4918219
2018-01-19,Apple,105.5085511079681,109.25235935059632,104.70292846438518,106.13927769320404,3426693
2018-01-22,Apple,106.85934416776738,107.8817824987413,102.34262203232421,105.78866978239871,2510769
2018-01-23,Apple,105.7442719584007,108.74966655691296,105.3177152850951,107.22975226022147,3799022
2018-01-24,Apple,104.5439561584202,107.09918077991685,102.03392339906458,104.03239197905862,4087276
2018-01-25,Apple,104.93850309467463,109.38295213553603,104.74403971088144,106.30738907241144,3670301
2018-01-26,Apple,105.39735400503392,108.24706234231886,100.69929901891008,104.82816248843416,1816426
2018-01-29,Apple,104.86168048422084,105.27297152962937,102.02148139750618,105.25965424806081,1438597
2018-01-30,Apple,103.77568276789417,104.13634664042524,101.78334859443805,102.72319522503157,1636409
2018-01-31,Apple,105.85176138397414,109.65993316154847,103.48442731720635,104.24959975125482,1790196
2018-02-01,Apple,104.9920708595347,106.81237990014112,102.64651204954818,104.10332420265182,1350808
2018-02-02,Apple,103.90225262240888,105.47060317057691,104.50772151319464,104.04419315460527,4514824
